solver,mean,std,min,q25,median,q75,max
fullsat,0.3400806451612903,0.3907398399557127,0.037,0.0475,0.08549999999999999,0.67225,1.34
mcdfs,0.043774193548387096,0.02658851277236864,0.005,0.04,0.041,0.04375,0.198
mcdfs_v100,0.04580645161290322,0.03676421766218037,0.004,0.038,0.041,0.043,0.25
mcdfs_v500,0.046209677419354826,0.03734587125635097,0.005,0.03425,0.0415,0.04375,0.251
mcdfs_nomc,0.04551612903225806,0.03712044125827651,0.005,0.03625,0.0405,0.043,0.257
mcsat,0.03658064516129031,0.01401675079358884,0.006,0.029750000000000002,0.042,0.044,0.076
mcsat_v100,0.03661290322580644,0.014084256640649054,0.006,0.0305,0.042,0.044,0.076
mcsat_v500,0.036677419354838696,0.014241889818361013,0.005,0.029,0.042,0.044,0.078
